[INFO] [1508337263.651849]: Exec is starting
[INFO] [1508337274.653415]: New parameters received
[INFO] [1508337275.653134]: New parameters received
[INFO] [1508337276.653412]: New parameters received
[INFO] [1508337277.652335]: New parameters received
[INFO] [1508337278.653181]: New parameters received
[INFO] [1508337279.652636]: New parameters received
[INFO] [1508337280.652431]: New parameters received
[INFO] [1508337281.653147]: New parameters received
[INFO] [1508337282.653070]: New parameters received
[INFO] [1508337283.653123]: New parameters received
[INFO] [1508337284.652643]: New parameters received
